t,vs,s
0.2000000000000001,0.007957391493118618,0.0009339174639713952
0.2010000000000001,0.007937572305449279,0.0009418748554645138
0.2020000000000001,0.00791790047271362,0.0009498124277699631
0.2030000000000001,0.007898374177951598,0.0009577303282426767
0.2040000000000001,0.00787899163541489,0.0009656287024206283
0.2050000000000001,0.007859751089880927,0.0009735076940560432
0.2060000000000001,0.007840650815985254,0.0009813674451459242
0.2070000000000001,0.007821689117571645,0.0009892080959619093
0.2080000000000001,0.007802864327059435,0.000997029785079481
0.2090000000000001,0.007784174804827518,0.0010048326494065405
0.2100000000000001,0.007765618938614497,0.001012616824211368
0.2110000000000001,0.007747195142934481,0.0010203824431499824
0.2120000000000001,0.007728901858508075,0.001028129638292917
0.2130000000000001,0.007710737551708053,0.001035858540151425
0.2140000000000001,0.007692700714019324,0.0010435692777031331
0.2150000000000001,0.007674789861512704,0.0010512619784171524
0.2160000000000001,0.007657003534332121,0.001058936768278665
0.2170000000000001,0.007639340296194818,0.0010665937718129972
0.2180000000000001,0.007621798733904197,0.0010742331121091921
0.2190000000000001,0.007604377456874888,0.0010818549108430964
0.2200000000000001,0.007587075096669728,0.0010894592882999712
0.2210000000000001,0.007569890306548263,0.0010970463633966409
0.22200000000000011,0.007552821761026453,0.0011046162537031892
0.22300000000000011,0.007535868155447247,0.0011121690754642157
0.22400000000000012,0.007519028205561716,0.0011197049436196629
0.22500000000000012,0.007502300647120428,0.0011272239718252246
0.22600000000000012,0.007485684235474797,0.001134726272472345
0.22700000000000012,0.007469177745188075,0.0011422119567078197
0.22800000000000012,0.0074527799696557685,0.0011496811344530078
0.22900000000000012,0.007436489720735154,0.0011571339144226635
0.23000000000000012,0.007420305828383681,0.0011645704041433986
0.23100000000000012,0.007404227140305987,0.0011719907099717822
0.23200000000000012,0.0073882525216092875,0.0011793949371120883
0.23300000000000012,0.007372380854466917,0.0011867831896336975
0.23400000000000012,0.007356611037789777,0.0011941555704881644
0.23500000000000013,0.0073409419869054915,0.0012015121815259543
0.23600000000000013,0.00732537263324504,0.0012088531235128598
0.23700000000000013,0.007309901924036673,0.001216178496146105
0.23800000000000013,0.00729452882200691,0.0012234883980701415
0.23900000000000013,0.0072792523050884276,0.0012307829268921485
0.24000000000000013,0.007264071366134636,0.001238062179197237
0.24100000000000013,0.0072489850126407985,0.0012453262505633716
0.24200000000000013,0.007233992266471471,0.0012525752355760124
0.24300000000000013,0.007219092163594138,0.0012598092278424838
0.24400000000000013,0.007204283753818846,0.001267028320006078
0.24500000000000013,0.0071895661005436885,0.0012742326037598968
0.24600000000000014,0.007174938280505997,0.0012814221698604405
0.24700000000000014,0.007160399383539069,0.0012885971081409466
0.24800000000000014,0.007145948512334294,0.0012957575075244856
0.24900000000000014,0.007131584782208549,0.0013029034560368199
0.2500000000000001,0.007117307320876712,0.0013100350408190285
0.2510000000000001,0.007103115268229162,0.0013171523481399052
0.2520000000000001,0.007089007776114143,0.0013242554634081344
0.2530000000000001,0.007074984008124864,0.0013313444711842487
0.2540000000000001,0.007061043139391214,0.0013384194551923736
0.2550000000000001,0.007047184356375973,0.0013454804983317648
0.2560000000000001,0.007033406856675402,0.0013525276826881407
0.2570000000000001,0.007019709848824113,0.001359561089544816
0.2580000000000001,0.007006092552104096,0.00136658079939364
0.2590000000000001,0.006992554196357809,0.0013735868919457443
0.2600000000000001,0.006979094021805219,0.001380579446142102
0.2610000000000001,0.0069657112788647155,0.0013875585401639072
0.2620000000000001,0.006952405227977771,0.0013945242514427718
0.2630000000000001,0.006939175139437284,0.0014014766566707497
0.2640000000000001,0.006926020293219497,0.001408415831810187
0.2650000000000001,0.006912939978819408,0.0014153418521034066
0.2660000000000001,0.0068999334950895766,0.001422254792082226
0.2670000000000001,0.0068870001500822816,0.0014291547255773154
0.2680000000000001,0.0068741392608948895,0.0014360417257273978
0.26900000000000013,0.006861350153518403,0.0014429158649882927
0.27000000000000013,0.006848632162689106,0.001449777215141811
0.27100000000000013,0.006835984631743198,0.0014566258473045
0.27200000000000013,0.006823406912474394,0.0014634618319362433
0.27300000000000013,0.006810898364994384,0.0014702852388487177
0.27400000000000013,0.0067984583575961014,0.0014770961372137122
0.27500000000000013,0.006786086266619719,0.0014838945955713083
0.27600000000000013,0.006773781476321333,0.001490680681837928
0.27700000000000014,0.006761543378744242,0.0014974544633142494
0.27800000000000014,0.006749371373592787,0.0015042160066929937
0.27900000000000014,0.006737264868108666,0.0015109653780665865
0.28000000000000014,0.006725223276949703,0.0015177026429346952
0.28100000000000014,0.006713246022070965,0.0015244278662116448
0.28200000000000014,0.0067013325326082205,0.0015311411122337158
0.28300000000000014,0.006689482244763653,0.001537842444766324
0.28400000000000014,0.0066776946016937995,0.0015445319270110877
0.28500000000000014,0.0066659690533996474,0.0015512096216127814
0.28600000000000014,0.00665430505661884,0.0015578755906661811
0.28700000000000014,0.006642702074719962,0.0015645298957228
0.28800000000000014,0.006631159577598848,0.00157117259779752
0.28900000000000015,0.006619677041576848,0.0015778037573751188
0.29000000000000015,0.00660825394930104,0.0015844234344166957
0.29100000000000015,0.006596889789646322,0.0015910316883659967
0.29200000000000015,0.0065855840576193566,0.001597628578155643
0.29300000000000015,0.006574336254264316,0.0016042141622132622
0.29400000000000015,0.0065631458865703885,0.0016107884984675265
0.29500000000000015,0.006552012467381019,0.001617351644354097
0.29600000000000015,0.006540935515304829,0.001623903656821478
0.29700000000000015,0.006529914554628195,0.0016304445923367827
0.29800000000000015,0.00651894911522944,0.0016369745068914108
0.29900000000000015,0.006508038732494596,0.0016434934560066402
0.30000000000000016,0.0064971829472347245,0.0016500014947391348
0.30100000000000016,0.006486381305604744,0.0016564986776863694
0.30200000000000016,0.006475633359023735,0.0016629850589919741
0.30300000000000016,0.006464938664096695,0.001669460692350998
0.30400000000000016,0.0064542967825377134,0.0016759256310150945
0.30500000000000016,0.006443707281094519,0.0016823799277976322
0.30600000000000016,0.0064331697314744096,0.0016888236350787267
0.30700000000000016,0.006422683710271483,0.0016952568048102011
0.30800000000000016,0.006412248798895191,0.0017016794885204726
0.30900000000000016,0.006401864583500146,0.0017080917373193678
0.31000000000000016,0.00639153065491719,0.001714493601902868
0.31100000000000017,0.006381246608585678,0.0017208851325577852
0.31200000000000017,0.00637101204448695,0.001727266379166371
0.31300000000000017,0.006360826567078987,0.0017336373912108579
0.31400000000000017,0.0063506897852321975,0.001739998217777937
0.31500000000000017,0.006340601312166333,0.0017463489075631691
0.31600000000000017,0.006330560765388505,0.0017526895088753355
0.31700000000000017,0.006320567766632273,0.001759020069640724
0.31800000000000017,0.0063106219417977906,0.0017653406374073563
0.3190000000000002,0.006300722920892981,0.001771651259349154
0.3200000000000002,0.006290870337975728,0.001777951982270047
0.3210000000000002,0.006281063831097056,0.0017842428526080227
0.3220000000000002,0.006271303042245278,0.0017905239164391197
0.3230000000000002,0.006261587617291109,0.001796795219481365
0.3240000000000002,0.00625191720593369,0.001803056807098656
0.3250000000000002,0.006242291461647547,0.0018093087243045898
0.3260000000000002,0.006232710041630432,0.0018155510157662374
0.3270000000000002,0.006223172606752048,0.0018217837258078678
0.3280000000000002,0.006213678821503634,0.00182800689841462
0.3290000000000002,0.006204228353948387,0.0018342205772361236
0.3300000000000002,0.006194820875672728,0.001840424805590072
0.3310000000000002,0.006185456061738357,0.0018466196264657448
0.3320000000000002,0.006176133590635115,0.0018528050825274832
0.3330000000000002,0.006166853144234625,0.0018589812161181184
0.3340000000000002,0.00615761440774469,0.001865148069262353
0.3350000000000002,0.006148417069664453,0.0018713056836700977
0.3360000000000002,0.006139260821740275,0.0018774541007397622
0.3370000000000002,0.00613014535892235,0.0018835933615615026
0.3380000000000002,0.006121070379322014,0.001889723506920425
0.3390000000000002,0.00611203558416975,0.001895844577299747
0.3400000000000002,0.006103040677773881,0.0019019566128839166
0.3410000000000002,0.00609408536747992,0.0019080596535616904
0.3420000000000002,0.006085169363630577,0.0019141537389291703
0.3430000000000002,0.006076292379526408,0.0019202389082928009
0.3440000000000002,0.006067454131387098,0.0019263152006723273
0.3450000000000002,0.006058654338313353,0.0019323826548037144
0.3460000000000002,0.0060498927222494055,0.0019384413091420277
0.3470000000000002,0.006041169007946112,0.001944491201864277
0.3480000000000002,0.006032482922924632,0.0019505323708722232
0.3490000000000002,0.006023834197440688,0.001956564853795148
0.3500000000000002,0.006015222564449372,0.0019625886879925886
0.3510000000000002,0.006006647759570524,0.001968603910557038
0.3520000000000002,0.005998109521054631,0.0019746105583166086
0.3530000000000002,0.00598960758974928,0.0019806086678376632
0.3540000000000002,0.0059811417090661085,0.0019865982754274127
0.3550000000000002,0.005972711624948288,0.001992579417136479
0.3560000000000002,0.005964317085838496,0.001998552128761427
0.3570000000000002,0.005955957842647396,0.0020045164458472654
0.3580000000000002,0.005947633648722579,0.002010472403689913
0.3590000000000002,0.0059393442598180135,0.0020164200373386353
0.3600000000000002,0.005931089434063926,0.0020223593815984534
0.3610000000000002,0.005922868931937181,0.0020282904710325175
0.3620000000000002,0.005914682516232066,0.0020342133399644546
0.3630000000000002,0.005906529952031567,0.0020401280224806866
0.3640000000000002,0.005898411006679036,0.002046034552432718
0.3650000000000002,0.005890325449750311,0.002051932963439397
0.3660000000000002,0.005882273053026251,0.0020578232888891473
0.3670000000000002,0.00587425359046568,0.0020637055619421737
0.3680000000000002,0.005866266838178734,0.0020695798155326395
0.3690000000000002,0.005858312574400604,0.0020754460823708184
0.3700000000000002,0.005850390579465685,0.002081304394945219
0.3710000000000002,0.005842500635782083,0.0020871547855246847
0.3720000000000002,0.005834642527806521,0.002092997286160467
0.3730000000000002,0.005826816042019606,0.0020988319286882736
0.3740000000000002,0.00581902096690146,0.002104658744730293
0.3750000000000002,0.005811257092907709,0.002110477765697195
0.3760000000000002,0.005803524212445828,0.0021162890227901026
0.3770000000000002,0.005795822119851824,0.0021220925470025486
0.3780000000000002,0.0057881506113672595,0.0021278883691224003
0.3790000000000002,0.005780509485116623,0.0021336765197337675
0.3800000000000002,0.005772898541085001,0.0021394570292188842
0.3810000000000002,0.005765317581096103,0.0021452299277599693
0.38200000000000023,0.005757766408790578,0.0021509952453410653
0.38300000000000023,0.005750244829604654,0.002156753011749856
0.38400000000000023,0.0057427526507490894,0.0021625032565794605
0.38500000000000023,0.0057352896811884106,0.0021682460092302095
0.38600000000000023,0.005727855731620453,0.002173981298911398
0.38700000000000023,0.0057204506144562,0.0021797091546430186
0.38800000000000023,0.005713074143799896,0.002185429605257475
0.38900000000000023,0.005705726135429447,0.002191142679401275
0.39000000000000024,0.005698406406777093,0.0021968484055367044
0.39100000000000024,0.005691114776910367,0.0022025468119434813
0.39200000000000024,0.0056838510665132985,0.002208237926720392
0.39300000000000024,0.005676615097867897,0.002213921777786905
0.39400000000000024,0.00566940669483589,0.002219598392884773
0.39500000000000024,0.005662225682840719,0.002225267799579609
0.39600000000000024,0.005655071888849767,0.00223093002526245
0.39700000000000024,0.0056479451413568625,0.0022365850971512997
0.39800000000000024,0.005640845270365007,0.0022422330422926565
0.39900000000000024,0.005633772107369334,0.0022478738875630214
0.40000000000000024,0.005626725485340321,0.002253507659670391
0.40100000000000025,0.0056197052387072215,0.0022591343851557314
0.40200000000000025,0.005612711203341721,0.002264754090394439
0.40300000000000025,0.0056057432165418294,0.0022703668015977806
0.40400000000000025,0.005598801117015971,0.0022759725448143224
0.40500000000000025,0.005591884744867313,0.0022815713459313383
0.40600000000000025,0.005584993941578296,0.0022871632306762056
0.40700000000000025,0.005578128549995373,0.002292748224617784
0.40800000000000025,0.005571288414313954,0.002298326353167779
0.40900000000000025,0.005564473380063558,0.002303897641582093
0.41000000000000025,0.005557683294093161,0.0023094621149621565
0.41100000000000025,0.005550918004556741,0.0023150197982562495
0.41200000000000025,0.00554417736089901,0.0023205707162608064
0.41300000000000026,0.005537461213841353,0.0023261148936217055
0.41400000000000026,0.005530769415367933,0.002331652354835547
0.41500000000000026,0.005524101818711991,0.0023371831242509147
0.41600000000000026,0.005517458278342331,0.002342707226069627
0.41700000000000026,0.00551083864994998,0.0023482246843479692
